"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 21 15:42:33 GMT 2023","Fri Apr 21 15:42:33 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with valid data",""
"broken","Fri Apr 21 15:42:35 GMT 2023","Fri Apr 21 15:42:35 GMT 2023","1","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with invalid data",""
