"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 21 17:30:31 GMT 2023","Fri Apr 21 17:30:31 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignInAndSignOut","","","Kijelentkezés",""
"broken","Fri Apr 21 17:30:33 GMT 2023","Fri Apr 21 17:30:33 GMT 2023","0","vizsgaremek.test","test_conduit","TestPostHandling","","","Új poszt létrehozása",""
"broken","Fri Apr 21 17:30:35 GMT 2023","Fri Apr 21 17:30:35 GMT 2023","0","vizsgaremek.test","test_conduit","TestPostHandling","","","Delete taggal rendelkező poszt törlése",""
"broken","Fri Apr 21 17:30:34 GMT 2023","Fri Apr 21 17:30:34 GMT 2023","0","vizsgaremek.test","test_conduit","TestPostHandling","","","Több oldalas lista bejárása",""
"broken","Fri Apr 21 17:30:36 GMT 2023","Fri Apr 21 17:30:36 GMT 2023","0","vizsgaremek.test","test_conduit","TestModifyUserData","","","Felhasználó adatainak módosítása",""
"passed","Fri Apr 21 17:30:32 GMT 2023","Fri Apr 21 17:30:33 GMT 2023","91","vizsgaremek.test","test_conduit","TestPrivacyPolicy","","","Cookie elfogadásának tesztelése",""
"broken","Fri Apr 21 17:30:29 GMT 2023","Fri Apr 21 17:30:29 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignInAndSignOut","","","Sign in with valid and invalid data",""
"broken","Fri Apr 21 17:30:37 GMT 2023","Fri Apr 21 17:30:37 GMT 2023","0","vizsgaremek.test","test_conduit","TestListOperations","","","Feedek címeinek listázása",""
"broken","Fri Apr 21 17:30:28 GMT 2023","Fri Apr 21 17:30:28 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with invalid data",""
"broken","Fri Apr 21 17:30:27 GMT 2023","Fri Apr 21 17:30:27 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with valid data",""
"broken","Fri Apr 21 17:30:38 GMT 2023","Fri Apr 21 17:30:38 GMT 2023","0","vizsgaremek.test","test_conduit","TestListOperations","","","Feedek címeinek listázása és mentése külső fájlba",""
