"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 05:41:22 GMT 2023","Sun Apr 23 05:41:22 GMT 2023","0","vizsgaremek.test","test_conduit","TestModifyUserData","","","Felhasználó adatainak módosítása",""
"broken","Sun Apr 23 05:41:24 GMT 2023","Sun Apr 23 05:41:24 GMT 2023","0","vizsgaremek.test","test_conduit","TestListOperations","","","Feedek címeinek listázása és mentése külső fájlba",""
"broken","Sun Apr 23 05:41:16 GMT 2023","Sun Apr 23 05:41:16 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with invalid data",""
"broken","Sun Apr 23 05:41:18 GMT 2023","Sun Apr 23 05:41:18 GMT 2023","1","vizsgaremek.test","test_conduit","TestSignInAndSignOut","","","Kijelentkezés",""
"passed","Sun Apr 23 05:41:19 GMT 2023","Sun Apr 23 05:41:19 GMT 2023","60","vizsgaremek.test","test_conduit","TestPrivacyPolicy","","","Cookie elfogadásának tesztelése",""
"broken","Sun Apr 23 05:41:15 GMT 2023","Sun Apr 23 05:41:15 GMT 2023","1","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with valid data",""
"broken","Sun Apr 23 05:41:19 GMT 2023","Sun Apr 23 05:41:19 GMT 2023","0","vizsgaremek.test","test_conduit","TestPostHandling","","","Új poszt létrehozása",""
"broken","Sun Apr 23 05:41:20 GMT 2023","Sun Apr 23 05:41:20 GMT 2023","0","vizsgaremek.test","test_conduit","TestPostHandling","","","Több oldalas lista bejárása",""
"broken","Sun Apr 23 05:41:21 GMT 2023","Sun Apr 23 05:41:21 GMT 2023","0","vizsgaremek.test","test_conduit","TestPostHandling","","","Delete taggal rendelkező poszt törlése",""
"broken","Sun Apr 23 05:41:23 GMT 2023","Sun Apr 23 05:41:23 GMT 2023","0","vizsgaremek.test","test_conduit","TestListOperations","","","Feedek címeinek listázása",""
"broken","Sun Apr 23 05:41:17 GMT 2023","Sun Apr 23 05:41:17 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignInAndSignOut","","","Sign in with valid and invalid data",""
