"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 21 16:39:51 GMT 2023","Fri Apr 21 16:39:58 GMT 2023","6994","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with invalid data",""
"passed","Fri Apr 21 16:39:47 GMT 2023","Fri Apr 21 16:39:50 GMT 2023","2786","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with valid data",""
