"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 20 17:38:32 GMT 2023","Thu Apr 20 17:38:32 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with valid data",""
"broken","Thu Apr 20 17:38:39 GMT 2023","Thu Apr 20 17:38:39 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with invalid data",""
