"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 21 16:29:11 GMT 2023","Fri Apr 21 16:29:11 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with valid data",""
"broken","Fri Apr 21 16:29:21 GMT 2023","Fri Apr 21 16:29:21 GMT 2023","0","vizsgaremek.test","test_conduit","TestSignUp","","","Sign up with invalid data",""
